code,name,gender,country_code,flag_bearer,events
139893,AABREKK Ingrid Bergene,F,NOR,0,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Sprint Classic""}]"
24464,AAGAARD Mikkel,M,DEN,0,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
45083,AALTO Antti,M,FIN,0,"[{'discipline': 'Ski Jumping', 'event': ""Men's NH Individual""}, {'discipline': 'Ski Jumping', 'event': ""Men's LH Individual""}, {'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
32319,ABATANGELO Aurora,F,ITA,0,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
4972,ABDI Fayik,M,KSA,0,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Slalom""}, {'discipline': 'Alpine Skiing', 'event': ""Men's Giant Slalom""}]"
23307,ABDUL-SABOOR Hakeem,M,USA,0,"[{'discipline': 'Bobsleigh', 'event': ''}]"
21728,ABEDA Shannon,M,ERI,3,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Slalom""}, {'discipline': 'Alpine Skiing', 'event': ""Men's Giant Slalom""}]"
19703,ABSTREITER Sandra,F,GER,0,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
19321,ACHLEITNER Lisa,F,AUT,0,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 10km Interval Start Free""}, {'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
39893,ADAKE Ahenaer,F,CHN,0,"[{'discipline': 'Speed Skating', 'event': ""Women's Mass Start""}, {'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
45459,ADAMCZYKOVA Eva,F,CZE,0,"[{'discipline': 'Snowboard', 'event': ""Women's Snowboard Cross""}, {'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
43056,ADAMEK Klaudia,F,POL,0,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
23514,ADAMOV Simon,M,SVK,0,"[{'discipline': 'Biathlon', 'event': ""Men's 20km Individual""}, {'discipline': 'Biathlon', 'event': ""Men's 10km Sprint""}, {'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
40209,ADDAMO Justin,M,FRA,0,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
26721,ADOLFSSON Jessica,F,SWE,0,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
48251,AEBERHARD Mario,M,SUI,0,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
48253,AERNI Luca,M,SUI,0,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Giant Slalom""}]"
45885,AHO Sebastian,M,FIN,0,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
