code,name,gender,country_code,nationality,function,events
50140,BOUCHARD Eric,M,ITA,CAN,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
50988,CERNOVSKY Vladimir,M,CZE,CZE,Coach,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
49020,CHARETTE Pierre,M,SUI,CAN,Coach,"[{'discipline': 'Curling', 'event': 'Women'}]"
53809,COOPER Jon,M,CAN,CAN,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
49035,de CRUZ Peter,M,SUI,SUI,Coach,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
49056,FISCHER Patrick,M,SUI,SUI,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
41885,FRY Ryan,M,ITA,CAN,Coach,"[{'discipline': 'Curling', 'event': 'Men'}]"
42608,FUNAYAMA Yumie,F,JPN,JPN,Coach,"[{'discipline': 'Curling', 'event': 'Women'}]"
25951,GATH Mikael,M,DEN,SWE,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
37136,GOODFELLOW Michael,M,GBR,GBR,Coach,"[{'discipline': 'Curling', 'event': 'Men'}]"
36121,GRAN Soeren,M,ITA,SWE,Coach,"[{'discipline': 'Curling', 'event': 'Women'}, {'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
37137,GRANDY Clancy,F,GBR,CAN,Coach,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
40103,HALLAM Sam,M,SWE,SWE,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
21554,HELDIN LINDSTROM Kristian,M,SWE,SWE,Coach,"[{'discipline': 'Curling', 'event': 'Women'}]"
43423,HEMMINGS Guy,M,KOR,CAN,Coach,"[{'discipline': 'Curling', 'event': 'Women'}]"
35932,IIZUKA Yuji,M,JPN,JPN,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
36129,JALONEN Jukka,M,ITA,FIN,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
19859,KREIS Harold,M,GER,GER,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
42438,LANGE Joachim,M,NOR,NOR,Coach,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
49312,LEHTERA Tero,M,FIN,FIN,Head Coach,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
21553,LINDSTROM Alexander,M,SWE,SWE,Coach,"[{'discipline': 'Curling', 'event': 'Men'}]"
42440,LOEVOLD Thomas,M,NOR,NOR,Coach,"[{'discipline': 'Curling', 'event': 'Men'}, {'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
