country,country_code,gold,silver,bronze,total,rank,rank_total
Norway,NOR,18,12,11,41,1,1
United States,USA,12,12,9,33,2,2
Netherlands,NED,10,7,3,20,3,9
Italy,ITA,10,6,14,30,4,3
Germany,GER,8,10,8,26,5,4
France,FRA,8,9,6,23,6,6
Sweden,SWE,8,6,4,18,7,10
Switzerland,SUI,6,9,8,23,8,6
Austria,AUT,5,8,5,18,9,10
Japan,JPN,5,7,12,24,10,5
Canada,CAN,5,7,9,21,11,8
China,CHN,5,4,6,15,12,12
Korea,KOR,3,4,3,10,13,13
Australia,AUS,3,2,1,6,14,14
Great Britain,GBR,3,1,1,5,15,16
Czechia,CZE,2,2,1,5,16,16
Slovenia,SLO,2,1,1,4,17,18
Spain,ESP,1,0,2,3,18,20
Brazil,BRA,1,0,0,1,19,24
Kazakhstan,KAZ,1,0,0,1,19,24
Poland,POL,0,3,1,4,21,18
New Zealand,NZL,0,2,1,3,22,20
Finland,FIN,0,1,5,6,23,14
Latvia,LAT,0,1,1,2,24,22
Denmark,DEN,0,1,0,1,25,24
Estonia,EST,0,1,0,1,25,24
Georgia,GEO,0,1,0,1,25,24
Bulgaria,BUL,0,0,2,2,28,22
Belgium,BEL,0,0,1,1,29,24
