code,name,team_type,gender,country_code,events
FSKXPAIRS---ARM01,AKOPOVA Karina / RAKHMANIN Nikita,CPLW,-,ARM,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
BOBMTEAM2---GER03,AMMOUR Adam,CUSTOM,-,GER,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---GER03,AMMOUR Adam,CUSTOM,-,GER,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBWTEAM2---ITA01,ANDREUTTI Giada,CUSTOM,-,ITA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
SKNXRELAY2--LAT01,ANDZANE Marta / INDRIKSONS Emils,CPLW,-,LAT,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
BOBWTEAM2---SUI02,ANNEN Debora,CUSTOM,-,SUI,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBWTEAM2---CAN01,APPIAH Cynthia,CUSTOM,-,CAN,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
ALPWTC-----ARG,Argentina,ORG,-,ARG,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
CCSWTEAMSP2-ARG01,Argentina,ORG,W,ARG,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSMTEAMSP2-ARG01,Argentina,ORG,M,ARG,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
BOBWTEAM2---USA01,ARMBRUSTER HUMPHRIES Kaillie,CUSTOM,-,USA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBMTEAM2---CAN02,AUSTIN Taylor,CUSTOM,-,CAN,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---CAN01,AUSTIN Taylor,CUSTOM,-,CAN,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
